CUST_ID,TYPE,VALUE
1,SENDOUT_1,1
2,SENDOUT_1,0
3,SENDOUT_1,0
4,SENDOUT_1,1
5,SENDOUT_1,0
6,SENDOUT_1,1
7,SENDOUT_1,1
8,SENDOUT_1,1
9,SENDOUT_1,0
10,SENDOUT_1,0
11,SENDOUT_1,1
12,SENDOUT_1,1
13,SENDOUT_1,0
14,SENDOUT_1,0
15,SENDOUT_1,1
16,SENDOUT_1,1
17,SENDOUT_1,0
18,SENDOUT_1,1
19,SENDOUT_1,1
20,SENDOUT_1,0
21,SENDOUT_1,1
22,SENDOUT_1,1
23,SENDOUT_1,1
24,SENDOUT_1,1
25,SENDOUT_1,1
26,SENDOUT_1,0
27,SENDOUT_1,0
28,SENDOUT_1,1
29,SENDOUT_1,1
30,SENDOUT_1,0
31,SENDOUT_1,1
32,SENDOUT_1,1
33,SENDOUT_1,1
34,SENDOUT_1,0
35,SENDOUT_1,1
36,SENDOUT_1,0
37,SENDOUT_1,0
38,SENDOUT_1,0
39,SENDOUT_1,1
40,SENDOUT_1,1
41,SENDOUT_1,1
42,SENDOUT_1,0
43,SENDOUT_1,0
44,SENDOUT_1,1
45,SENDOUT_1,1
46,SENDOUT_1,0
47,SENDOUT_1,0
48,SENDOUT_1,0
49,SENDOUT_1,0
50,SENDOUT_1,0
51,SENDOUT_1,1
52,SENDOUT_1,1
53,SENDOUT_1,1
54,SENDOUT_1,0
55,SENDOUT_1,0
56,SENDOUT_1,1
57,SENDOUT_1,0
58,SENDOUT_1,0
59,SENDOUT_1,0
60,SENDOUT_1,1
61,SENDOUT_1,1
62,SENDOUT_1,1
63,SENDOUT_1,0
64,SENDOUT_1,1
65,SENDOUT_1,0
66,SENDOUT_1,0
67,SENDOUT_1,1
68,SENDOUT_1,0
69,SENDOUT_1,0
70,SENDOUT_1,0
71,SENDOUT_1,1
72,SENDOUT_1,1
73,SENDOUT_1,0
74,SENDOUT_1,1
75,SENDOUT_1,0
76,SENDOUT_1,1
77,SENDOUT_1,1
78,SENDOUT_1,0
79,SENDOUT_1,0
80,SENDOUT_1,1
81,SENDOUT_1,1
82,SENDOUT_1,0
83,SENDOUT_1,1
84,SENDOUT_1,0
85,SENDOUT_1,0
86,SENDOUT_1,1
87,SENDOUT_1,0
88,SENDOUT_1,0
89,SENDOUT_1,0
90,SENDOUT_1,1
91,SENDOUT_1,0
92,SENDOUT_1,1
93,SENDOUT_1,0
94,SENDOUT_1,1
95,SENDOUT_1,1
96,SENDOUT_1,0
97,SENDOUT_1,1
98,SENDOUT_1,0
99,SENDOUT_1,1
100,SENDOUT_1,1
101,SENDOUT_1,0
102,SENDOUT_1,0
103,SENDOUT_1,0
104,SENDOUT_1,1
105,SENDOUT_1,1
106,SENDOUT_1,0
107,SENDOUT_1,1
108,SENDOUT_1,1
109,SENDOUT_1,0
110,SENDOUT_1,1
111,SENDOUT_1,0
112,SENDOUT_1,0
113,SENDOUT_1,0
114,SENDOUT_1,0
115,SENDOUT_1,1
116,SENDOUT_1,1
117,SENDOUT_1,0
118,SENDOUT_1,0
119,SENDOUT_1,0
120,SENDOUT_1,0
121,SENDOUT_1,0
122,SENDOUT_1,0
123,SENDOUT_1,1
124,SENDOUT_1,1
125,SENDOUT_1,1
126,SENDOUT_1,0
127,SENDOUT_1,1
128,SENDOUT_1,1
129,SENDOUT_1,1
130,SENDOUT_1,0
131,SENDOUT_1,0
132,SENDOUT_1,1
133,SENDOUT_1,1
134,SENDOUT_1,0
135,SENDOUT_1,0
136,SENDOUT_1,0
137,SENDOUT_1,1
138,SENDOUT_1,0
139,SENDOUT_1,0
140,SENDOUT_1,1
141,SENDOUT_1,0
142,SENDOUT_1,0
143,SENDOUT_1,0
144,SENDOUT_1,1
145,SENDOUT_1,1
146,SENDOUT_1,1
147,SENDOUT_1,1
148,SENDOUT_1,0
149,SENDOUT_1,1
150,SENDOUT_1,1
151,SENDOUT_1,0
152,SENDOUT_1,0
153,SENDOUT_1,0
154,SENDOUT_1,1
155,SENDOUT_1,1
156,SENDOUT_1,1
157,SENDOUT_1,1
158,SENDOUT_1,0
159,SENDOUT_1,1
160,SENDOUT_1,1
161,SENDOUT_1,0
162,SENDOUT_1,0
163,SENDOUT_1,1
164,SENDOUT_1,0
165,SENDOUT_1,1
166,SENDOUT_1,1
167,SENDOUT_1,1
168,SENDOUT_1,0
169,SENDOUT_1,0
170,SENDOUT_1,1
171,SENDOUT_1,0
172,SENDOUT_1,1
173,SENDOUT_1,0
174,SENDOUT_1,0
175,SENDOUT_1,1
176,SENDOUT_1,0
177,SENDOUT_1,0
178,SENDOUT_1,1
179,SENDOUT_1,0
180,SENDOUT_1,1
181,SENDOUT_1,1
182,SENDOUT_1,1
183,SENDOUT_1,0
184,SENDOUT_1,1
185,SENDOUT_1,1
186,SENDOUT_1,0
187,SENDOUT_1,0
188,SENDOUT_1,0
189,SENDOUT_1,0
190,SENDOUT_1,0
191,SENDOUT_1,0
192,SENDOUT_1,1
193,SENDOUT_1,1
194,SENDOUT_1,0
195,SENDOUT_1,0
196,SENDOUT_1,1
197,SENDOUT_1,0
198,SENDOUT_1,1
199,SENDOUT_1,1
200,SENDOUT_1,0
201,SENDOUT_1,1
202,SENDOUT_1,0
203,SENDOUT_1,1
204,SENDOUT_1,1
205,SENDOUT_1,1
206,SENDOUT_1,0
207,SENDOUT_1,1
208,SENDOUT_1,1
209,SENDOUT_1,0
210,SENDOUT_1,0
211,SENDOUT_1,0
212,SENDOUT_1,1
213,SENDOUT_1,0
214,SENDOUT_1,1
215,SENDOUT_1,0
216,SENDOUT_1,0
217,SENDOUT_1,0
218,SENDOUT_1,0
219,SENDOUT_1,0
220,SENDOUT_1,1
221,SENDOUT_1,0
222,SENDOUT_1,0
223,SENDOUT_1,1
224,SENDOUT_1,1
225,SENDOUT_1,1
226,SENDOUT_1,1
